audit_item,count,denominator,percent,interpretation
reaction_direction_forward,1246,1246,100.0,Model-side encoding used to construct the candidate reactant input; this is not evidence that the experimental assay measured the same direction.
model_reversible_rows,82,1246,6.5810593900481535,Rows linked to a model reaction whose lower bound permits reverse flux.
model_reversible_unique_reactions,58,773,7.503234152652005,Unique model reactions represented by at least one benchmark row and marked reversible by model bounds. Experimental assay direction remains unavailable.
experimental_assay_direction_unverified,1246,1246,100.0,The cached experimental records do not provide a direction that can be reconciled to model encoding.
substrate_selection_all_model_reactants_for_experimental_matching,1246,1246,100.0,All model-encoded reactants are retained before experimental substrate matching; this field records that candidate policy and is not a biochemical role label.
monatomic_proton_selected,90,1246,7.223113964686998,Chemically valid model reactant but generally not a defensible primary assay substrate.
water_selected,9,1246,0.7223113964686998,Chemically valid model reactant but often a currency participant.
registry_currency_or_cofactor,606,1246,48.63563402889245,"Joint registry classification using normalized names, external identifiers, and standardized structures."
registry_carrier_linked_variable,34,1246,2.7287319422150884,Carrier-linked metabolites are reported separately because they may be the variable substrate.
name_only_currency_or_cofactor_exploratory,531,1246,42.61637239165329,Exploratory name-only classification; not used for the primary role stratification.
exchange_demand_or_sink_reaction,0,1246,0.0,Boundary reactions were not expected to survive the gene/sequence requirements.
transport_named_reaction,0,1246,0.0,No reaction with transport or transporter in its name survived the final filters.
spontaneous_named_reaction,0,1246,0.0,No reaction marked spontaneous by its name survived the final filters.
sabiork_only_participant_level_label,468,1246,37.56019261637239,SABIO-RK export lists all reaction participants; the cached data do not identify which participant was the assayed variable substrate.
brenda_specific_substrate_support_present,778,1246,62.43980738362761,BRENDA turnover-number records provide a substrate-specific field.
